x,y,z,z_ft,magnitude,lon,lat,year,month,day
628179.8967579504,3663131.288638939,-7730.4829896,-25362.477,1.3,-115.62636999842164,33.099269998659835,1981.0,4.0,21.0
628191.8688210463,3663143.6440259954,-7756.4842584,-25447.783,1.84,-115.62623999917695,33.099380001240235,1981.0,4.0,21.0
628148.6171186006,3663096.502149742,-7769.484892800001,-25490.436,1.64,-115.62670999980861,33.09895999994448,1981.0,4.0,21.0
648236.8246505652,3624696.603303062,-10897.6375392,-35753.404,1.9,-115.41767999931324,32.75015000014019,1981.0,4.0,21.0
646957.6413001509,3627098.463817742,-9158.552676,-30047.745,1.6,-115.43094999981174,32.771980000645364,1981.0,4.0,21.0
648145.7155675694,3624961.3976592864,-10743.630024,-35248.13,1.5,-115.41861000101314,32.752550001132846,1981.0,4.0,21.0
629690.9922524041,3666725.3352818107,-3113.25768,-10214.1,1.0,-115.60967000082819,33.131500000305586,1981.0,4.0,21.0
628062.876765507,3663086.508441499,-7536.473522400001,-24725.963,1.0,-115.6276299984709,33.098879998834875,1981.0,4.0,21.0
628175.7449424838,3662949.368547451,-7603.476792,-24945.79,1.76,-115.6264400003092,33.0976299998923,1981.0,4.0,21.0
627960.3007940536,3662793.5167663465,-7654.4792808,-25113.121,1.86,-115.6287699989435,33.096250000293,1981.0,4.0,21.0
627937.3605618204,3662763.275703292,-7717.482355200001,-25319.824,1.3,-115.62902000067743,33.09598000068996,1981.0,4.0,21.0
628028.404208282,3662867.596848099,-7688.48094,-25224.675,1.5,-115.62803000099373,33.09690999877056,1981.0,4.0,21.0
627997.9260292788,3662842.801849132,-7718.482404,-25323.105,1.5,-115.62836000135857,33.09669000024154,1981.0,4.0,21.0
627883.5360740991,3662739.284733793,-7677.4804032,-25188.584,1.5,-115.62959999951246,33.09577000013515,1981.0,4.0,22.0
628146.737553255,3662883.5615342073,-7348.4643479999995,-24109.135,2.05,-115.62676000154839,33.09704000064677,1981.0,4.0,22.0
628128.7357609805,3662761.342593462,-8932.541647200002,-29306.239,3.48,-115.62697000078022,33.09593999906584,1981.0,4.0,22.0
627737.5135957762,3662627.593701576,-7562.4747912,-24811.269,2.0,-115.63118000113975,33.09477999952184,1981.0,4.0,22.0
628060.540722157,3662836.966995247,-7273.460688000001,-23863.06,1.11,-115.62769000002818,33.096629999268075,1981.0,4.0,22.0
628059.6511001922,3662833.6287336345,-7310.4624936,-23984.457,1.98,-115.62769999877284,33.09660000095867,1981.0,4.0,22.0
627938.8069748034,3662795.4536363585,-7896.4910904,-25907.123,1.99,-115.62899999955904,33.096269999519585,1981.0,4.0,22.0
628260.7635953338,3663085.7725970033,-8132.5026072,-26681.439,2.77,-115.62551000105374,33.09884999975191,1981.0,4.0,22.0
627168.6832462405,3659780.218532387,-9903.589032,-32492.09,0.5,-115.63767000037132,33.06916999997129,1981.0,4.0,22.0
627929.0773740334,3662754.295880724,-8140.5029976000005,-26707.687,1.69,-115.6291099986226,33.09589999990587,1981.0,4.0,22.0
628299.3457363166,3663061.8817117005,-7522.4728392,-24680.029,1.7,-115.62509999854554,33.09863000119573,1981.0,4.0,22.0
627866.4414729946,3662690.268203434,-8209.506364800001,-26934.076,0.6,-115.6297899984422,33.09532999963883,1981.0,4.0,22.0
628271.1967573072,3662930.658015267,-7323.463128,-24027.11,1.45,-115.62541999921068,33.09745000077923,1981.0,4.0,22.0
628348.0360984618,3663121.293511317,-7333.463616,-24059.92,1.75,-115.62457000040038,33.09915999884234,1981.0,4.0,22.0
629401.0382221885,3663039.7879391564,-4126.3071144000005,-13537.753,1.2,-115.61329999872746,33.0983000004599,1981.0,4.0,22.0
628023.805403735,3662791.020168334,-7212.457711200001,-23662.919,0.68,-115.62808999886549,33.09621999986116,1981.0,4.0,22.0
628362.8515089173,3663130.3594364254,-7309.4624448,-23981.176,1.58,-115.62440999840744,33.099240000125896,1981.0,4.0,22.0
627855.0617934817,3662632.454915692,-6821.4386304,-22380.048,1.4,-115.62992000084091,33.09480999966131,1981.0,4.0,22.0
628204.9164461688,3660292.74003312,-6713.433360000001,-22025.7,0.6,-115.62649999985574,33.07367000023961,1981.0,4.0,22.0
628487.2352314964,3663253.9746126113,-7371.465470400001,-24184.598,1.6,-115.62305999980184,33.10033999915635,1981.0,4.0,22.0
628478.2232313144,3663229.4596234015,-7398.466788000001,-24273.185,1.33,-115.62316000062714,33.100119999018645,1981.0,4.0,22.0
628462.2567721268,3663237.0128971506,-7534.473424800001,-24719.401,2.51,-115.62333000065918,33.10019000128355,1981.0,4.0,22.0
628367.3719500818,3663141.5080064316,-7381.4659584,-24217.408,2.11,-115.62436000122237,33.09933999920259,1981.0,4.0,22.0
628164.5460730542,3662949.22184993,-7557.4745472,-24794.864,1.96,-115.62656000056137,33.097629999245626,1981.0,4.0,22.0
628351.4138629896,3663361.977789812,-2703.2376719999997,-8868.89,0.6,-115.62449999867347,33.1013300001113,1981.0,4.0,22.0
626857.3356180724,3663416.7978996756,-8903.540232000001,-29211.09,0.7,-115.64049999859812,33.10199999879602,1981.0,4.0,22.0
628581.3593303481,3663336.163463373,-7413.467520000001,-24322.4,1.64,-115.62203999963107,33.10107000092638,1981.0,4.0,22.0
628253.646641517,3663059.0649552927,-6790.4371176,-22278.337,1.8,-115.6255899989022,33.098610000965465,1981.0,4.0,22.0
